id,name,start_date
Q11815580,Pepco,1999-01-01T00:00:00Z
Q138133,RWE,1898-04-25T00:00:00Z
Q9253957,Energa,2006-12-06T00:00:00Z
Q1550912,GMV Innovating Solutions,1984-01-01T00:00:00Z
Q117037393,Q117037393,
Q1478920,Radio Maryja,1991-01-01T00:00:00Z
Q815265,Radio Racyja,1999-01-01T00:00:00Z
Q11786409,PSB Mrówka,
Q122941607,Max Elektro,2004-01-01T00:00:00Z
Q7865474,UPC Poland,2000-10-01T00:00:00Z
Q1026989,Polsat News,2008-01-01T00:00:00Z
Q115568785,DHL POP BOX,
Q806642,Bank Polska Kasa Opieki,1929-01-01T00:00:00Z
Q53430,MPK Poznań Sp. z o.o.,1880-01-01T00:00:00Z
Q9251859,Eko,1996-01-01T00:00:00Z
Q108599511,Livio,
Q86681898,Pijalnia Wódki i Piwa,
Q11974290,"Hard Rock Café, Warsaw",2007-02-08T00:00:00Z
Q11694239,Dino,1999-01-01T00:00:00Z
Q2033727,OLT Express,2011-01-01T00:00:00Z
Q11699009,Fugazi,
Q122842019,Namaste Travelers Club,2012-01-01T00:00:00Z
Q1724518,TVP Info,2007-01-01T00:00:00Z
Q56056109,SimFabric,
Q115921434,Cofix Global,2013-01-01T00:00:00Z
Q107378372,Polyslash,2015-01-01T00:00:00Z
Q142095,Polityka,1957-01-01T00:00:00Z
Q110573154,Dev4Play,
Q348402,Adam Mickiewicz University in Poznań,1919-05-07T00:00:00Z
Q11837058,Topaz,1993-01-01T00:00:00Z
Q41171373,Aldi Nord,1960-01-01T00:00:00Z
Q104673490,Radio 357,2021-01-05T00:00:00Z
Q11821937,Polomarket,1997-09-11T00:00:00Z
Q109587952,Star Drifters,
Q98455928,Wektormedia,
Q100452287,Kebab i Pizza Stey,
Q3198646,Konfrontacja Sztuk Walki,2004-01-01T00:00:00Z
Q677662,Pedagogical University of Kraków,1946-01-01T00:00:00Z
Q9386219,Gdańskie Autobusy i Tramwaje,1991-01-01T00:00:00Z
Q109828151,Yellow Dot,
Q2589061,Żabka,1998-01-01T00:00:00Z
Q116819340,Drago Entertainment,1998-01-01T00:00:00Z
Q106436003,Covenant.dev,2020-01-01T00:00:00Z
Q106918849,Klabater,2016-01-01T00:00:00Z
Q110801119,Stokrotka Express,2017-01-01T00:00:00Z
Q111907295,Revulo Games,
Q9356024,Jan Kochanowski Theatre,1945-01-01T00:00:00Z
Q116764575,Blue Sunset Games,2016-01-01T00:00:00Z
Q113070760,Cyprian Kamil Norwid Theatre,1904-01-01T00:00:00Z
Q9325152,Ryłko,1964-01-01T00:00:00Z
Q9356050,Korez Theatre,1990-01-01T00:00:00Z
Q1139703,Polregio,2001-01-01T00:00:00Z
Q120651326,Piana Vyshnia,
Q108403242,Maxi Zoo,
Q93070134,Merkury Market,1991-01-01T00:00:00Z
Q102291992,Zelmotor,2009-11-16T00:00:00Z
Q470784,Amica S.A.,1945-01-01T00:00:00Z
Q60978063,WPolsce.pl,
Q113093586,Putka,
Q52085298,Artifex Mundi,2006-01-01T00:00:00Z
Q110955605,Gzella,
Q100734718,One More Level,2014-01-01T00:00:00Z
Q123350604,"""Dobre Smaki"" Stary Toruń",
Q701338,C&A,1841-01-01T00:00:00Z
Q119213347,Sushi Story,
Q52636078,Wydawnictwo Naukowe WSB w Dąbrowie Górniczej,
Q62054190,Awiteks,
Q113686383,FreeMind,
