SDC Deal No,Date Announced,Rank Date,"Rank Value inc. Net Debt of Target
(USD, Millions)",Target Full Name,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,"Target Financial Advisors Name
('|')","Acquiror Financial Advisors Name
('|')",Deal Status,Form of the Deal,Acquiror Number of Employees,Target Number of Employees,Acquiror PermID,Target PermID,Target Founded Date,Target Primary Ticker Symbol,Acquiror Founded Date,"Acquiror Current Assets Last 12 Months
(USD, Millions)","Current Assets Last 12 Months 
(USD, Millions)","Acquiror Market Value 4 Weeks Prior to Announcement
(USD, Millions)","Target Market Value 4 Weeks Prior to Announcement
(USD, Millions)","Region of Headquarters
('|')","Acquiror CashFLow LTM
(USD, Millions)","EBITDA Last 12 Months
(USD, Millions)"
4022153040,11/17/2022,11/17/2022,0.00,Reliningsteknik Sverige AB,Energy and Power,Pipelines,Sweden,Spolargruppen Sverige AB,Financials,Other Financials,Sweden,,,Pending,Merger,,,5080179176,5083712136,,,01/01/2019,15.24,,,,Europe,11.51,
4025271040,12/08/2022,12/08/2022,3.61,Gerox AB,Energy and Power,Power,Sweden,Spolargruppen Sverige AB,Financials,Other Financials,Sweden,,,Pending,Merger,,,5080179176,5045174913,01/01/2010,,01/01/2019,15.24,2.65,,,Europe,11.51,0.58
3923659040,05/12/2022,05/12/2022,0.00,HAPiNS Co Ltd,Retail,Other Retailing,Japan,BRUNO Inc,Consumer Products and Services,Home Furnishings,Japan,,Bridge Consulting Group Inc,Completed,Merger,,,4298025339,4295879198,01/07/1969,,30/11/1995,62.72,34.51,,,Japan,11.44,3.99
3961198040,08/02/2022,08/02/2022,0.00,Krisopea Srl,High Technology,IT Consulting & Services,Italy,Global Payments SpA,High Technology,Software,Italy,,KPMG,Completed,Merger,,,5079684149,5082635775,01/01/2001,,,45.35,4.49,,,Europe,11.34,0.92
4056689040,03/20/2023,03/20/2023,0.00,Topfoods Finland Oy,Consumer Staples,Food and Beverage,Finland,Geia Food A/S,Consumer Staples,Food and Beverage,Denmark,,,Pending,Merger,,,5042219824,5044703461,,,01/01/2014,36.13,4.81,,,Europe,11.34,1.03
3911827040,04/19/2022,04/19/2022,0.00,Tiendeo Web Marketing SL,Media and Entertainment,Advertising & Marketing,Spain,DoveConviene Srl,High Technology,E-commerce / B2B,Italy,,PricewaterhouseCoopers,Completed,Merger,,,5044196669,5037954245,01/01/2011,,,39.98,4.43,,,Europe,11.33,0.00
3981186040,09/27/2022,09/27/2022,0.00,Arrow Bright,Media and Entertainment,Motion Pictures / Audio Visual,Japan,Brass Corp,Consumer Products and Services,Other Consumer Products,Japan,,,Completed,Merger,,,5039191219,5083470346,23/01/2020,,01/04/1998,22.74,,,,Japan,11.31,
3943596040,06/29/2022,06/29/2022,0.00,Yamazaki Conpou Transport Co Ltd,Industrials,Transportation & Infrastructure,Japan,Daishin Chemical Co Ltd,Materials,Chemicals,Japan,,,Completed,Merger,,,4295879610,5083364326,,,11/12/1952,146.94,,,,Japan,11.29,
3986906040,10/11/2022,10/11/2022,2.80,Mobile Media Link,High Technology,Electronics,Japan,Cyberlinks Co Ltd,High Technology,Computers & Peripherals,Japan,,Univis Consulting Co Ltd,Completed,Merger,,,4296605723,5044604102,18/04/2005,,01/05/1956,33.90,,,,Japan,11.28,
3987687040,10/11/2022,10/11/2022,3.03,KO-PLAN Co Ltd,Telecommunications,Wireless,Japan,Cyberlinks Co Ltd,High Technology,Computers & Peripherals,Japan,,Univis Consulting Co Ltd,Completed,Merger,,,4296605723,5045510888,13/06/1994,,01/05/1956,33.90,,,,Japan,11.28,
3982970040,01/20/2023,01/20/2023,0.78,MISCH MASCH,Consumer Staples,Textiles & Apparel,Japan,WA Inc,Consumer Staples,Textiles & Apparel,Japan,,,Completed,Merger,,,5039690632,5083784269,01/12/2022,,12/02/2002,55.53,,,,Japan,11.24,
3953061040,07/22/2022,07/22/2022,5.68,Ensurance UK Ltd,Financials,Insurance,United Kingdom,PSC Insurance Group Ltd,Financials,Insurance,Australia,,,Completed,Merger,,,5037360070,5068759200,,,10/12/2010,0.00,7.23,,,Europe,11.24,0.21
3902649040,04/13/2022,04/13/2022,10.87,GuruShots Ltd,High Technology,Software,Israel,Zedge Holdings Inc,High Technology,Software,United States,,,Completed,Merger,,,5000259760,5082152468,,,01/01/2003,33.65,,86.83,,"Africa, Middle East, or Central Asia",11.22,
4020670040,12/27/2022,12/27/2022,2.59,Initia Oncologia SL,Healthcare,Hospitals,Spain,Atrys Health SA,Healthcare,Biotechnology,Spain,Livingstone Partners,,Completed,Merger,17.00,,5036352074,5083698720,,,04/01/2007,103.09,,,,Europe,11.19,
4021115040,12/27/2022,12/27/2022,9.47,Telmed SpA,Healthcare,Healthcare Equipment & Supplies,Chile,Atrys Health SA,Healthcare,Biotechnology,Spain,,PricewaterhouseCoopers,Completed,Merger,17.00,,5036352074,5083699635,,,04/01/2007,103.09,,418.40,,Americas,11.19,
4021139040,12/27/2022,12/27/2022,0.00,Prestaciones Medicas E Inversiones Chaxa SpA,Healthcare,Healthcare Equipment & Supplies,Chile,Atrys Health SA,Healthcare,Biotechnology,Spain,,PricewaterhouseCoopers,Completed,Merger,17.00,,5036352074,5083700477,,,04/01/2007,103.09,,,,Americas,11.19,
3920452040,05/13/2022,05/13/2022,5.58,Film History Co Ltd,Media and Entertainment,Motion Pictures / Audio Visual,South Korea,IHQ Inc,Media and Entertainment,Motion Pictures / Audio Visual,South Korea,,,Completed,Merger,,,4295881818,5082537514,,,24/08/1962,49.40,,,,Asia Pacific Excluding Central Asia,11.13,
4038338040,01/31/2023,01/31/2023,0.00,Oxiane SAS,High Technology,IT Consulting & Services,France,Clever Age SAS,High Technology,IT Consulting & Services,France,Atout Capital,,Completed,Merger,,,5044096338,5083820177,01/02/2000,,01/01/2001,20.81,,,,Europe,11.08,
3941472040,06/10/2022,06/10/2022,0.00,Elverdi Norge As,High Technology,Software,Norway,SmartCraft ASA,High Technology,Software,Norway,,,Completed,Merger,,,5067515291,5083157051,08/08/2012,,01/01/1987,26.45,0.45,,,Europe,11.08,0.19
4036853040,01/01/2023,01/01/2023,0.00,Management Information Partner GmbH,High Technology,IT Consulting & Services,Germany,Cenit AG,High Technology,IT Consulting & Services,Germany,,,Completed,Merger,720.00,,4295869467,5068328871,,,01/01/1998,58.76,,,,Europe,11.00,
3960495040,08/09/2022,08/09/2022,37.04,EP-Force Co Ltd,Consumer Products and Services,Employment Services,Japan,MedPeer Inc,High Technology,E-commerce / B2B,Japan,,,Completed,Merger,,,5042934335,5082403223,24/05/2019,,09/12/2004,58.40,11.34,323.45,,Japan,10.98,
3946378040,07/01/2022,07/01/2022,0.00,Hypersonic,High Technology,IT Consulting & Services,Japan,Geniee Inc,High Technology,E-commerce / B2B,Japan,,Tokyo Financial Advisers,Completed,Merger,,,5037353125,5083350151,07/06/2022,,14/04/2010,31.36,,122.24,,Japan,10.89,
4044831020,02/27/2023,02/27/2023,49.01,Zelto Inc,Media and Entertainment,Advertising & Marketing,United States,Geniee Inc,High Technology,E-commerce / B2B,Japan,,,Pending,Merger,,,5037353125,5083854298,04/08/2014,,14/04/2010,31.36,,,,Americas,10.89,
3982342040,09/28/2022,09/28/2022,0.23,NATIV Inc,Media and Entertainment,Advertising & Marketing,Japan,KAYAC Inc,High Technology,Software,Japan,,,Pending,Merger,,,5001427474,5056415860,01/03/2016,,03/08/1998,46.20,,,,Japan,10.87,
3999867040,11/07/2022,11/07/2022,93.31,Appreciate Group PLC,Financials,Credit Institutions,United Kingdom,Paypoint PLC,Financials,Other Financials,United Kingdom,Liberum Capital|Herax Partners,Jefferies International Ltd,Completed,Merger,,,4295897722,4295897984,01/01/1967,PARK,01/01/1996,122.03,247.57,465.81,59.95,Europe,10.84,12.27
3946349040,07/07/2022,07/07/2022,71.04,"Aspial-Lee Hwa Jewellery Singapore Pte ,Gold Purple Pte ,BU2 Services Pte Ltd",Consumer Products and Services,Other Consumer Products,Singapore,Maxi-Cash Financial Services Corp Ltd,Retail,Other Retailing,Singapore,BDO,,Completed,Merger,,,5036794334,,,,10/04/2008,327.16,,129.10,,Asia Pacific Excluding Central Asia,10.76,
3937171040,06/20/2022,06/20/2022,9.45,Voimatel Oy,Energy and Power,Power,Finland,Enersense International Oyj,Consumer Products and Services,Professional Services,Finland,PricewaterhouseCoopers,,Withdrawn,Merger,,,5041758005,4297994680,01/01/2001,,01/01/2005,66.98,42.51,103.54,,Europe,10.72,5.83
3975921040,09/07/2022,09/07/2022,0.00,GeFiL Gestione Fiscalita Locale Spa,Consumer Products and Services,Professional Services,Italy,Safety21 SpA,High Technology,Software,Italy,,,Completed,Merger,,,5045208380,5037947222,01/01/2006,,01/01/2011,26.07,17.99,,,Europe,10.69,2.71
3953730040,07/22/2022,07/22/2022,2.85,Tokyo Lifestyle Ltd,Retail,Other Retailing,Hong Kong,Yoshitsu Co Ltd,Retail,Other Retailing,Japan,,,Pending,Merger,,,5063184144,5083384522,,,01/12/2006,95.28,,,,Asia Pacific Excluding Central Asia,10.64,
4053048040,03/16/2023,03/16/2023,0.00,Asunaro Road Co Ltd,Industrials,Transportation & Infrastructure,Japan,Watanabe Sato Co Ltd,Industrials,Transportation & Infrastructure,Japan,,,Pending,Merger,,,4295880025,5035713007,23/07/1973,,01/01/1923,132.88,,,,Japan,10.64,
3939939040,06/21/2022,06/21/2022,9.15,Smart Contact Srl,Media and Entertainment,Advertising & Marketing,Italy,MeglioQuesto SpA,High Technology,Computers & Peripherals,Italy,,,Pending,Merger,,,5080517844,5078360172,,,,45.89,5.66,121.34,,Europe,10.61,2.11
4000825040,11/08/2022,11/08/2022,0.00,SCRT SA,High Technology,IT Consulting & Services,Switzerland,Orange Cyberdefense SA,High Technology,IT Consulting & Services,France,Rothschild & Co,,Completed,Merger,,,5058108286,5083629799,01/01/2002,,01/01/2002,280.40,,,,Europe,10.60,
3989891040,10/18/2022,10/18/2022,0.00,Shanta Gold Ltd,Materials,Metals & Mining,Guernsey,Chaarat Gold Holdings Ltd,Materials,Metals & Mining,United Kingdom,Liberum Capital|Treadstone Partners Pty Ltd,Canaccord Genuity,Pending,Merger,,,4295898972,4295897759,01/01/2001,SHG,20/07/2007,39.11,45.87,,109.74,Europe,10.59,12.12
4008781040,12/01/2022,12/01/2022,0.00,3B Latte Srl,Consumer Staples,Food and Beverage,Italy,Gennaro Auricchio SpA,Consumer Staples,Food and Beverage,Italy,Vitale&Co-IMAP,DC Advisory,Completed,Merger,,,4296605082,5044757031,01/01/1952,,,70.24,14.47,,,Europe,10.58,7.09
4049971040,03/08/2023,03/08/2023,0.00,Qassim Corrugated Box Factory Co,Industrials,Machinery,Saudi Arabia,Raoom Trading Co,Retail,Home Improvement Retailing,Saudi Arabia,,Wasatah Capital,Pending,Merger,,,5082085210,5083936851,01/01/2005,,01/01/1988,21.45,,,,"Africa, Middle East, or Central Asia",10.57,
3947522040,07/11/2022,07/11/2022,0.00,Atlera Software Lda,High Technology,IT Consulting & Services,Portugal,Singular People SA,High Technology,IT Consulting & Services,Spain,,,Completed,Merger,,,5057821752,5083356295,,,,35.41,,,,Europe,10.51,
4005731040,11/25/2022,11/25/2022,0.00,Belike Software SL,High Technology,Software,Spain,Singular People SA,High Technology,IT Consulting & Services,Spain,,,Completed,Merger,,,5057821752,5083656181,27/04/2016,,,35.41,,,,Europe,10.51,
3948490020,07/11/2022,07/11/2022,0.00,Sentry Aerospace Corp,Industrials,Transportation & Infrastructure,United States,Aerospares 2000 Ltd,Industrials,Transportation & Infrastructure,United Kingdom,XLCS Partners Inc|Duff & Phelps Corp,,Completed,Merger,,,5055938227,,01/01/1975,,26/06/2000,50.88,,,,Americas,10.51,
3988513040,10/11/2022,10/11/2022,0.00,Comercial de Contenidos Audiovisuales 2007 SL,Media and Entertainment,Broadcasting,Spain,Squirrel Media SA,Media and Entertainment,Motion Pictures / Audio Visual,Spain,,,Pending,Merger,,,4295889410,5037840096,,,27/11/2006,38.92,,,,Europe,10.49,
3971127040,09/06/2022,09/06/2022,0.00,DANK,High Technology,IT Consulting & Services,Japan,Information Planning Co Ltd,High Technology,Software,Japan,,,Pending,Merger,,,4295877308,5083447212,18/01/2000,,01/10/1986,27.79,,,,Japan,10.48,
4011972040,12/12/2022,12/12/2022,0.00,Arche Associates Group,Financials,Asset Management,Luxembourg,Stanhope Capital LLP,Financials,Asset Management,United Kingdom,,,Pending,Merger,,,5000060137,5044007920,,,01/01/2004,22.10,,,,Europe,10.23,
4033749040,11/11/2022,11/11/2022,11.23,"Undisclosed Spanish Ltd Liability(19),Antequera",Energy and Power,Power,Spain,Q-Energy Private Equity SGEIC SA,Financials,Alternative Financial Investments,Spain,,,Completed,Merger,,,5071554554,,,,01/01/1970,11.40,,,,Europe,10.18,
4033772040,11/11/2022,11/11/2022,10.21,"Undisclosed Spanish Ltd Liability(19),Los Palacios",Energy and Power,Power,Spain,Q-Energy Private Equity SGEIC SA,Financials,Alternative Financial Investments,Spain,,,Completed,Merger,,,5071554554,,,,01/01/1970,11.40,,,,Europe,10.18,
4044092040,01/31/2023,01/31/2023,0.00,Doctrine Engineering (M) Sdn Bhd,High Technology,Electronics,Malaysia,Yoshitake Inc,Industrials,Other Industrials,Japan,Globalscope,,Completed,Merger,188.00,,4295879520,5083850142,03/03/2003,,01/02/1944,60.03,,,,Asia Pacific Excluding Central Asia,10.13,
4004009040,10/31/2022,10/31/2022,0.00,ipox chemicals GmbH,Materials,Chemicals,Germany,Bruno Bock GmbH,Materials,Chemicals,Germany,CFI|Helbling Business Advisors AG,,Completed,Merger,,,4297341050,5039935213,01/01/2009,,01/01/1937,43.12,,,,Europe,10.13,
3990390040,09/01/2022,09/01/2022,0.00,Joan Regada SLU,Retail,Home Improvement Retailing,Spain,Neolith Distribution SL,Materials,Construction Materials,Spain,,DELOITTE (Spanish Office),Completed,Merger,,,5070517413,5083507948,,,01/01/2009,89.99,,,,Europe,10.11,
3968672040,07/26/2022,07/26/2022,0.86,Vertere Srl,Consumer Products and Services,Professional Services,Italy,Star7 SpA,Consumer Products and Services,Professional Services,Italy,,,Completed,Merger,,,5046297581,,01/01/1994,,01/01/2000,41.79,,,,Europe,10.02,
3986370040,10/04/2022,10/04/2022,0.00,ALIS,Media and Entertainment,Publishing,Japan,MINKABU THE INFONOID Inc,High Technology,E-commerce / B2B,Japan,,,Completed,Merger,,,5000060163,5083494547,08/04/2016,,07/07/2006,29.75,,,,Japan,9.99,
3964810040,08/01/2022,08/01/2022,0.00,Teknesi Srl-Undisclosed Branch,High Technology,IT Consulting & Services,Italy,Corvallis Srl,High Technology,Computers & Peripherals,Italy,,,Completed,Merger,,,5080176936,,,,01/01/2021,37.84,,,,Europe,9.96,
3964811040,08/01/2022,08/01/2022,0.00,Lan & Wan Solutions Srl,High Technology,IT Consulting & Services,Italy,Corvallis Srl,High Technology,Computers & Peripherals,Italy,,,Completed,Merger,,,5080176936,5057489135,,,01/01/2021,37.84,,,,Europe,9.96,
3898142040,04/01/2022,04/01/2022,10.80,LONGi Green Energy Photovoltaic Engineering Co Ltd,Energy and Power,Power,China (Mainland),Center International Group Co Ltd,Retail,Home Improvement Retailing,China (Mainland),,ICBC,Completed,Merger,,,5000538576,5082484703,04/03/2016,,05/12/2001,695.72,,,,Asia Pacific Excluding Central Asia,9.96,
3996391040,10/20/2022,10/20/2022,0.00,Juratoys SAS,Consumer Products and Services,Other Consumer Products,France,Maped SAS,Consumer Products and Services,Other Consumer Products,France,Clearwater Corporate Finance,Natixis,Completed,Merger,230.00,,4297449138,5037646294,01/01/1970,,01/01/1946,56.43,49.15,,,Europe,9.95,5.26
3928897040,05/31/2022,05/31/2022,0.00,Laserjet SpA,Materials,Metals & Mining,Italy,Aussafer Due Srl,Industrials,Other Industrials,Italy,,,Completed,Merger,,,5039623383,5000618886,01/01/1980,,,46.08,,,,Europe,9.87,
3971304040,07/01/2022,07/01/2022,42.15,Byte Computer SA,High Technology,IT Consulting & Services,Greece,Ideal Group SA,Industrials,Machinery,Greece,,,Intended,Merger,,,4295870535,4295870776,01/01/1983,BYTE,01/01/1972,77.42,33.53,125.44,,Europe,9.83,6.65
3931679040,06/08/2022,06/08/2022,0.00,DexMach NV,High Technology,Computers & Peripherals,Belgium,Cegeka NV,High Technology,IT Consulting & Services,Belgium,,,Pending,Merger,"1,500.00",,4296351781,5083155593,,,01/01/1988,137.53,,,,Europe,9.76,
3975334040,06/30/2022,06/30/2022,0.00,Encore Ymparistopalvelut Oy,Consumer Products and Services,Professional Services,Finland,Stena Recycling Oy,Materials,Other Materials,Finland,,,Completed,Merger,,,4296106807,5052138675,31/12/1943,,31/08/2005,23.81,24.08,,,Europe,9.69,7.14
3961276020,08/12/2022,08/12/2022,89.46,Integrated Financial Holdings Inc,Financials,Banks,United States,MVB Financial Corp,Financials,Banks,United States,Raymond James & Associates Inc,Stephens Inc,Pending,Merger,,,4295913898,5000647638,01/01/2020,IFHI,,,366.93,382.65,,Americas,9.68,
4008374040,12/01/2022,12/01/2022,15.67,HL Healthcare Ltd,Healthcare,Healthcare Providers & Services (HMOs),United Kingdom,Venture Life Group PLC,Healthcare,Pharmaceuticals,United Kingdom,,Cenkos Securities PLC|Singer Capital Markets Ltd,Completed,Merger,,,5020848295,5018292274,17/09/2004,,01/01/2010,35.94,,33.39,,Europe,9.64,
3938311020,06/22/2022,06/22/2022,122.43,Ocean Bio-Chem Inc,Consumer Staples,Household & Personal Products,United States,OneWater Marine Inc,Retail,Automotive Retailing,United States,Houlihan Lokey,,Completed,Merger,,,5070826912,4295914427,01/01/1973,OBCI,01/01/2014,515.78,42.89,503.00,66.57,Americas,9.61,11.59
3954065020,07/25/2022,07/25/2022,67.62,Quantum Capital Corp,Financials,Banks,United States,HomeTrust Bancshares Inc,Financials,Banks,United States,Piper Sandler & Co,Raymond James & Associates Inc,Completed,Merger,,,5037132581,4296390790,,,,0.00,,,,Americas,9.56,
3976086040,07/23/2022,07/23/2022,0.00,Arpa Ceramiche SpA,Materials,Construction Materials,Italy,Ceramiche Moma - SpA,Materials,Construction Materials,Italy,,,Completed,Merger,,,5045953119,5083456121,01/01/1961,,,104.67,,,,Europe,9.55,
3915326040,04/21/2022,04/21/2022,0.00,The Pet Co Ltd,Consumer Products and Services,Other Consumer Products,Japan,Asahipen Corp,Materials,Chemicals,Japan,,,Completed,Merger,,,4295878149,5040692135,01/06/1984,,01/10/1940,87.33,,,,Japan,9.48,
3980160040,09/21/2022,09/21/2022,0.00,Hotelify.Com,Retail,Other Retailing,Italy,Allegrini SpA,Consumer Products and Services,Other Consumer Products,Italy,,KPMG,Completed,Merger,,,5039879376,5083467181,,,01/01/1945,21.56,,,,Europe,9.44,
4004817040,07/07/2022,07/07/2022,0.00,JS-Perttula Oy,Industrials,Machinery,Finland,Lantmannen Agro Oy,Consumer Staples,Agriculture & Livestock,Finland,,,Completed,Merger,,,5063742663,5061144176,,,,120.67,5.80,,,Europe,9.40,0.12
4004870040,07/07/2022,07/07/2022,0.00,Ismo Lindell Oy,Industrials,Machinery,Finland,Lantmannen Agro Oy,Consumer Staples,Agriculture & Livestock,Finland,,,Completed,Merger,,,5063742663,5081423749,,,,120.67,5.63,,,Europe,9.40,0.11
4033136040,01/26/2023,01/26/2023,0.00,BindingFuture Srl,High Technology,IT Consulting & Services,Italy,Teoresi SpA,High Technology,IT Consulting & Services,Italy,,Deloitte Financial Advisory BV,Completed,Merger,,,5044740906,5083793033,01/01/2009,,01/01/1987,61.52,,,,Europe,9.40,
4033152040,01/26/2023,01/26/2023,0.00,HiFuture Srl,High Technology,IT Consulting & Services,Italy,Teoresi SpA,High Technology,IT Consulting & Services,Italy,,Deloitte Financial Advisory BV,Completed,Merger,,,5044740906,5082636249,01/01/2003,,01/01/1987,61.52,4.33,,,Europe,9.40,0.12
4045557040,02/28/2023,02/28/2023,0.00,Al Anwar Medical Equipment Trading Co Llc,Healthcare,Healthcare Equipment & Supplies,United Arab Emirates,Naba Alsaha Medical Services Co,Healthcare,Hospitals,Saudi Arabia,,,Pending,Merger,,,5083162072,5083858056,,,01/01/1984,22.08,,,,"Africa, Middle East, or Central Asia",9.32,
4022553040,12/01/2022,12/01/2022,0.00,J-Matic Oy,Industrials,Machinery,Finland,Boreo Oyj,High Technology,Electronics,Finland,,,Completed,Merger,,,4295866364,5083680633,01/01/2005,,07/03/1969,68.01,,,,Europe,9.31,
4022554040,12/01/2022,12/01/2022,0.00,J-Matic Rent Oy,Consumer Products and Services,Employment Services,Finland,Boreo Oyj,High Technology,Electronics,Finland,,,Completed,Merger,,,4295866364,5083681051,,,07/03/1969,68.01,,,,Europe,9.31,
4046803040,12/20/2022,12/20/2022,3.97,Filterit Oy,Energy and Power,Water and Waste Management,Finland,Boreo Oyj,High Technology,Electronics,Finland,,,Completed,Merger,,,4295866364,5083723581,,,07/03/1969,68.01,,108.05,,Europe,9.31,
3941441040,06/08/2022,06/08/2022,0.00,Again Life Italia Srl,Consumer Products and Services,Other Consumer Products,Italy,Shedir Pharma Group SpA,Healthcare,Pharmaceuticals,Italy,,,Completed,Merger,,,5044738011,5043466786,,,01/01/2008,46.22,1.02,,,Europe,9.28,
4008778040,12/02/2022,12/02/2022,9.74,Munhwa Yutong Books Co Ltd,Media and Entertainment,Other Media & Entertainment,South Korea,DASAN Networks Inc,Telecommunications,Telecommunications Equipment,South Korea,,,Completed,Merger,293.00,,4295881940,5073682681,07/04/1995,,04/03/1993,353.90,,114.66,,Asia Pacific Excluding Central Asia,9.28,
3990235040,10/17/2022,10/17/2022,3.17,Ubivelox Mobile Co Ltd,High Technology,Software,South Korea,UbiVelox Inc,High Technology,Software,South Korea,,,Completed,Merger,400.00,,4295939895,5035901040,11/04/2011,,01/09/2000,219.34,,85.29,,Asia Pacific Excluding Central Asia,9.27,
4036401020,01/31/2023,01/31/2023,5.00,Precon Health Inc,Consumer Products and Services,Professional Services,United States,Thorne Healthtech Inc,Healthcare,Pharmaceuticals,United States,,,Completed,Merger,,,5080022467,5083814374,01/01/2020,,01/01/2010,99.27,,,,Americas,9.27,
3991441040,10/17/2022,10/17/2022,0.00,Pirenaica del Jamon,Consumer Staples,Food and Beverage,Spain,Mafriges SA,Consumer Staples,Agriculture & Livestock,Spain,,,Completed,Merger,,,4296775923,5083510725,,,01/01/1984,46.21,,,,Europe,9.24,
3911622040,04/19/2022,04/19/2022,0.00,Hermanos Moran SL,Consumer Staples,Food and Beverage,Spain,Industrias Carnicas Tello SA,Consumer Staples,Food and Beverage,Spain,Oaklins,,Completed,Merger,,,4298204460,5039626915,01/01/1975,,,87.46,28.91,,,Europe,9.20,-2.75
3997658020,11/07/2022,11/07/2022,8.00,Velodyne Lidar Inc,Industrials,Aerospace & Defense,United States,Ouster Inc,Industrials,Aerospace & Defense,United States,BofA Securities Inc,Barclays PLC,Completed,Merger,,,5080035344,5065874818,26/06/2018,VLDR,01/01/2021,171.95,245.89,,211.69,Americas,9.15,-165.12
4028054040,01/17/2023,01/17/2023,0.00,HI-TOOL Co Ltd,Consumer Products and Services,Other Consumer Products,Japan,Kyoto Tool Co Ltd,Consumer Products and Services,Other Consumer Products,Japan,,,Completed,Merger,,,4295876376,5083779368,01/01/2009,,02/08/1950,67.38,,,,Japan,9.13,
3939404040,06/23/2022,06/23/2022,0.00,Novakorp Systems SARL,Industrials,Building/Construction & Engineering,France,Midway Holding AB,Industrials,Building/Construction & Engineering,Sweden,,,Pending,Merger,850.00,,4295889851,,,,01/01/1989,61.33,,,,Europe,9.11,
3993423040,10/25/2022,10/25/2022,0.21,Bper Banca SpA-Non Performing Loans Portfolio,Financials,Credit Institutions,Italy,Fire Group SpA,High Technology,Computers & Peripherals,Italy,,,Completed,Merger,,,5039928401,,,,,47.78,,,,Europe,8.97,
4012644040,12/06/2022,12/06/2022,0.66,Banca Patavina Credito Cooperativo Di Santelena E Piove Di Sacco-Non Performing Loans Portfolio,Financials,Credit Institutions,Italy,Fire Group SpA,High Technology,Computers & Peripherals,Italy,,,Completed,Merger,,,5039928401,,,,,47.78,,,,Europe,8.97,
3985403040,10/03/2022,10/03/2022,0.00,Unico Coagulantes Universales SL,Energy and Power,Water and Waste Management,Spain,Acideka SA,Materials,Chemicals,Spain,,Norgestion,Pending,Merger,,,4296696871,5083485408,01/01/2013,,01/01/1967,47.91,,,,Europe,8.93,
3965273040,07/13/2022,07/13/2022,0.00,Bruschettini Srl,Healthcare,Pharmaceuticals,Italy,Piam Farmaceutici SpA,Healthcare,Pharmaceuticals,Italy,,Deloitte,Completed,Merger,,,5039620192,5035528458,01/01/1910,,01/01/1915,29.24,18.21,,,Europe,8.92,5.03
4028529040,01/17/2023,01/17/2023,2.20,AOI DENKI KOUGYO Co Ltd,Industrials,Building/Construction & Engineering,Japan,Japan Ecosystem Co Ltd,Energy and Power,Water and Waste Management,Japan,,,Completed,Merger,,,5044675310,5083780786,01/06/1933,,26/11/1998,27.88,,,,Japan,8.91,
4038551040,05/27/2022,05/27/2022,0.00,Ren Sp z o o,Consumer Staples,Food and Beverage,Poland,PPHU Specjal Sp z o o,Industrials,Other Industrials,Poland,,,Pending,Merger,,,5000632045,4298241030,22/02/2012,,31/10/1990,90.23,,,,Europe,8.88,
3974456040,09/05/2022,09/05/2022,0.00,Caption Data Ltd,Industrials,Other Industrials,United Kingdom,Polygon International AB,Consumer Products and Services,Professional Services,Sweden,,,Completed,Merger,,,5037648289,5035119677,07/04/2008,,01/01/2010,7.65,,,,Europe,8.87,
4050491040,12/22/2022,12/22/2022,13.43,Boro Pannan AB,Industrials,Other Industrials,Sweden,Seafire AB,Financials,Other Financials,Sweden,,,Pending,Merger,,,4295890464,4298314165,01/01/1976,,01/01/2016,56.43,11.85,,,Europe,8.81,0.76
4014454040,11/05/2022,11/05/2022,0.00,J Honore Care ApS,Energy and Power,Water and Waste Management,Denmark,Reto Invest AS,Materials,Construction Materials,Norway,,,Completed,Merger,,,5045231941,5060716982,,,,24.40,,,,Europe,8.79,
3936971040,06/20/2022,06/20/2022,0.00,Matsuya Sakae Shokuhin Honpo,Consumer Staples,Food and Beverage,Japan,Bronco Billy Co Ltd,Retail,Food & Beverage Retailing,Japan,,,Pending,Merger,,160.00,4295878741,5000057739,30/08/1976,,01/01/1978,107.35,,277.87,,Japan,8.64,
3911581040,04/21/2022,04/21/2022,0.00,Cryoshelter GmbH-Liquid Natural Gas Business,Energy and Power,Oil & Gas,Austria,Hexagon Composites ASA,Industrials,Other Industrials,Norway,,,Intended,Merger,198.00,,4295885529,,,,01/01/1999,370.16,,,,Europe,8.62,
3943439040,06/30/2022,06/30/2022,0.00,Aries Fertilizers Group Pte Ltd,Materials,Chemicals,Singapore,Hexagon Composites ASA,Industrials,Other Industrials,Norway,,,Completed,Merger,198.00,,4295885529,5040928429,01/04/2012,,01/01/1999,370.16,,,,Asia Pacific Excluding Central Asia,8.62,
3973696040,09/06/2022,09/06/2022,33.55,CliniChain Holding BV,Healthcare,Healthcare Equipment & Supplies,Netherlands,ADDvise Group AB,Healthcare,Healthcare Equipment & Supplies,Sweden,IMAP,MANGOLD FONDKOMISSION AB,Intended,Merger,,,4295890321,5083452081,,,01/01/1989,40.83,,,,Europe,8.61,
3950059040,07/19/2022,07/19/2022,29.62,Shanghai Zhongyingjian Health Technology Co Ltd,Healthcare,Healthcare Equipment & Supplies,China (Mainland),Shanghai Model Organisms Center Inc,Healthcare,Biotechnology,China (Mainland),,,Pending,Merger,,,5035730344,5083365009,29/04/2012,,20/09/2000,274.17,,,,Asia Pacific Excluding Central Asia,8.56,
