,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country
0,uri,http://www.wikidata.org/entity/Q107584938,en,literal,Mito Mobile,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
1,uri,http://www.wikidata.org/entity/Q28130700,en,literal,Nusantara TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-11-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,http://www.wikidata.org/entity/Q112739152,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
2,uri,http://www.wikidata.org/entity/Q7896071,en,literal,University of Pattimura,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-04-23T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
3,uri,http://www.wikidata.org/entity/Q118755611,en,literal,Bobby Chandra Global Indonesia,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
4,uri,http://www.wikidata.org/entity/Q63371124,en,literal,Guardian,,,,uri,http://www.wikidata.org/entity/Q334,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
5,uri,http://www.wikidata.org/entity/Q5115984,en,literal,Trans TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
6,uri,http://www.wikidata.org/entity/Q4262307,en,literal,Prambors FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
7,uri,http://www.wikidata.org/entity/Q107551247,en,literal,Invitee Site,,,,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q4120725,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
8,uri,http://www.wikidata.org/entity/Q2994389,en,literal,Garena,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,,,,,,,,,,,,,wd:Q252
9,uri,http://www.wikidata.org/entity/Q10829079,en,literal,Mount Klabat College,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q15838,literal,,,,,,,,,,,,,,wd:Q252
10,uri,http://www.wikidata.org/entity/Q97587290,en,literal,TVRI World,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
11,uri,http://www.wikidata.org/entity/Q5317233,en,literal,Duta Wacana Christian University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-10-31T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
12,uri,http://www.wikidata.org/entity/Q3234878,en,literal,Trans7,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q10114,literal,,,,,,,,,,,,,,wd:Q252
13,uri,http://www.wikidata.org/entity/Q4855913,en,literal,Danamon of Indonesia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q3630,literal,,id,literal,PT Bank Danamon Indonesia Tbk,,,,,,,,,,wd:Q252
14,uri,http://www.wikidata.org/entity/Q14933233,,literal,Q14933233,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
15,uri,http://www.wikidata.org/entity/Q11045391,en,literal,IDX Channel,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q10114,literal,,,,,,,,,,,,,,wd:Q252
16,uri,http://www.wikidata.org/entity/Q19752643,en,literal,KAI Bandara,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3630,literal,,,,,,,,,,,,,,wd:Q252
17,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,,,,uri,http://www.wikidata.org/entity/Q833,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
18,uri,http://www.wikidata.org/entity/Q63371124,en,literal,Guardian,,,,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
19,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,,,,uri,http://www.wikidata.org/entity/Q148,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
20,uri,http://www.wikidata.org/entity/Q12474471,en,literal,Bank Jago,,,,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q806718,literal,,literal,,literal,,literal,,id,literal,PT Bank Artos Indonesia Tbk,,,,,,,,,,wd:Q252
21,uri,http://www.wikidata.org/entity/Q12486113,en,literal,I-Radio Medan,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
22,uri,http://www.wikidata.org/entity/Q20427816,en,literal,MNC Channels,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
23,uri,http://www.wikidata.org/entity/Q25468823,en,literal,Maheswara Musik Records,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3630,literal,,,,,,,,,,,,,,wd:Q252
24,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,http://www.w3.org/2001/XMLSchema#decimal,literal,18246,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,wd:Q252
25,uri,http://www.wikidata.org/entity/Q7894421,en,literal,Universitas Terbuka,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
26,uri,http://www.wikidata.org/entity/Q12474533,en,literal,Bank Syariah Mandiri,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q3630,literal,,id,literal,PT Bank Industri Nasional,,,,,,,,,,wd:Q252
27,uri,http://www.wikidata.org/entity/Q38116375,en,literal,Voyagin,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,,literal,http://www.wikidata.org/entity/Q17229042,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,wd:Q252
